Name,Rating_in_Amazon,Price_in_Amazon,Amazon url,rating in flipkart,price in flipkart,flipkart url
Tell Me your Dreams,4.4,324,https://www.amazon.in/Tell-your-Dreams-Sidney-Sheldon/dp/8172234902/ref=sr_1_1?crid=1D81AYKOI4L1&dib=eyJ2IjoiMSJ9.nqIPU5ktcZQXMWs9W_OegUS5NyLPd4prqBJG4nZEO_7d-bx34OaeJ5NSoGjkPWRpociZT8r46HiR9USBDlp7e4wQfwQsHj2fl128vVItD8F3y5Jaba4nJk3gHTGftbYMw5ltCOcK60gEIuLj1Q8cv-L--7ipS1rK0o-ymYyagEQh8S45q6oNCt486gbYLdXMAIk6u3s6VDf0zNBa1XTRdjBTUS-euYS8pEMyxBauA2c.2ylsZ_h_D25lTYaJXbUYrNaSwXtCyFxhszGTOuEqCw4&dib_tag=se&keywords=Tell+Me+your+Dreams&qid=1745718298&sprefix=tell+me+your+dreams%2Caps%2C477&sr=8-1,4.6,353,https://www.flipkart.com/tell-me-your-dreams/p/itmfbt4zkgzc6dby?pid=9788172234904&lid=LSTBOK9788172234904XY28BJ&marketplace=FLIPKART&q=Tell+Me+Your+Dreams&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=76eba156-2cf3-4510-b2a6-d0e9b6720d64.9788172234904.SEARCH&ppt=hp&ppn=homepage&ssid=nr20a9pho00000001745718430854&qH=5349cae56aa6624d
The Boy in the Striped Pyjamas (Definitions),4.6,216,https://www.amazon.in/Striped-Pyjamas-Vintage-Childrens-Classics-ebook/dp/B008PUF3VS?ref_=ast_author_mpb,4.6,250,https://www.flipkart.com/boy-striped-pyjamas/p/itmfc8q4spugnppp?pid=9780099572862&lid=LSTBOK9780099572862CL57TH&marketplace=FLIPKART&q=the+boy+in+the+striped+pyjamas&store=bks&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_42_na_pm_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_42_na_pm_ps&fm=Search&iid=00c153e0-5aba-4325-920d-fe6b5f33ca20.9780099572862.SEARCH&ppt=sp&ppn=sp&ssid=tdt2agg85c0000001745718666810&qH=933ea1c6465848a1
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,431,https://www.amazon.in/Romancing-Balance-Sheet-Manages-Business/dp/B0F3X9J3CK/ref=sr_1_1?crid=3FVJWKA3SFEEH&dib=eyJ2IjoiMSJ9.DCEYaax0nb4k8frh0aScmTi6rK57hpRUSSt2coH5NHC20C2xs-LokPOBHXnBPERMSAAk_Pdv8ow6ZhbubQUgL0Os96EgUHxauqhjUsJZ7hpJhUVaFwPtW0tswytTMiks2RfnJ858uPhwHvW5VjOm7UZWbYaugkGCzT4n3iOG4aBsZL6Rayg7hOMm3n-uZvjyj0R4xNoWE5uLRIblEKYdiTGLnoUmKWGGNz0eA5rv3Gc.umiWgqnUHb-IDiHUAi1OGfqVkG7GMtR1wI07rnbDPmQ&dib_tag=se&keywords=Romancing+the+Balance+Sheet%3A+For+Anyone+Who+Owns%2C+Runs+or+Manages+a+Business&nsdOptOutParam=true&qid=1745718862&s=digital-text&sprefix=romancing+the+balance+sheet+for+anyone+who+owns%2C+runs+or+manages+a+business%2Cdigital-text%2C298&sr=1-1-catcorr,4.2,310,https://www.flipkart.com/romancing-balance-sheet-anyone-owns-runs-manages-business/p/itm47cfc44dea8e7?pid=9785003831400&lid=LSTBOK9785003831400WGB4G9&marketplace=FLIPKART&q=Romancing+the+Balance+Sheet%3A+For+Anyone+Who+Owns%2C+Runs+or+Manages+a+Business&store=bks&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=4de67962-a0be-49bd-a676-fccb5d8399c6.9785003831400.SEARCH&ppt=pp&ppn=pp&ssid=26tjyeg3hs0000001745718953022&qH=22b30d761e202135
Mossad,4.3,321,https://www.amazon.in/Mossad-Hindi-Michael-Bar-Zohar-ebook/dp/B09SGJ72L6/ref=sr_1_3?crid=3IBZWOREBP7L&dib=eyJ2IjoiMSJ9.juLraI7_ybPMiXXsFOZaN8ruJpvrlLTPTLCIL0uJ8t1iCe9F1kdbdA-x0wRWDBJQ1TLMuT3TxA9ueYWEIrypQADdjMt8d2ZFwGff4-JBZ_vF-U6E5MDJ_XMLf5SKXX_4kryLB0zjIc5bKtbMWMEZc4i_MotTUTqJp_TLNIq2B4f3hFOVhTvghsFpRyM4gXhM8zDB3dn5zCyyRqRTXjdr22w7P2KRkFULiU18ORIwAl8.WColnFTBMzK6aXl9DPyJU0zrt9vRDT4pp8yag24-Ga8&dib_tag=se&keywords=Mossad&qid=1745719149&s=digital-text&sprefix=mossad%2Cdigital-text%2C307&sr=1-3,4.5,358,https://www.flipkart.com/mossad-paperback-michael-bar-zohar-nissim-mishal-paperback-1/p/itmfcyvmyf4fghua?pid=9788184958454&lid=LSTBOK9788184958454NLMJSX&marketplace=FLIPKART&q=Mossad&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=5783eeb9-3da5-4819-800e-32be66388590.9788184958454.SEARCH&ppt=pp&ppn=pp&ssid=rej8sq3ec00000001745719067888&qH=79b91e941981f318
My Story,4.4,220,https://www.amazon.in/My-Story/dp/B08FNQB3KK/ref=sr_1_1?crid=2KFAKJOC34Y0C&dib=eyJ2IjoiMSJ9.W24PYMucXZlsYRTjcb-y7_Aeq8eG2bfHHQALL2oDL_IVuFqQGLfVEc4MzitNENiNLGXh78MhKIiHW4FrnMps_w.RDhOVR_LeiD5vWgm_8OpMlYO1pQafyHc_TYc00t2Qac&dib_tag=se&keywords=my+story+kamala+das&nsdOptOutParam=true&qid=1745719384&s=digital-text&sprefix=My+story+%2Cdigital-text%2C305&sr=1-1,4.4,191,https://www.flipkart.com/my-story/p/itmf3qd5x4fkkjhn?pid=9788172238971&lid=LSTBOK9788172238971T3WTVR&marketplace=FLIPKART&q=My+Story&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=058fccf4-70d6-4375-8cf6-b2e3c53f3b32.9788172238971.SEARCH&ppt=pp&ppn=pp&ssid=43ib93q1b40000001745719323240&qH=c9f3f5496d14cd11
12 Years a Slave,4.7,79,https://www.amazon.in/12-Years-a-Slave/dp/B08X4YDV2G/ref=sr_1_1?crid=FQVKBXSAP4RM&dib=eyJ2IjoiMSJ9.0aG3Mwixy89arc_kUCqCoW_5HzdNYEOR5i2gqF8OBgUC3Am6EmVpoVqgYd_jmoyd9OhwK6HWqn0Koepjd4_pqL45-WIa_l3IBg6LUvtsvKQ.l58j_7F42OKS0wxIZmw-96TQhVae2QhPPkTuf0BbLWg&dib_tag=se&keywords=12+Years+a+Slave&qid=1745719562&s=audible&sprefix=12+years+a+slave%2Caudible%2C262&sr=1-1,4.3,215,https://www.flipkart.com/twelve-years-slave/p/itmfbdzz2uk4hnhj?pid=9789390896592&lid=LSTBOK9789390896592QTB5F9&marketplace=FLIPKART&q=12+Years+a+Slave+book+solomun+northub&store=bks&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=fbd780b9-c12a-4c80-b90e-0d10b0d372e9.9789390896592.SEARCH&ppt=sp&ppn=sp&ssid=bucql2nwzk0000001745719710691&qH=0d9dc35f56fba663
Headley And I,4,280,https://www.amazon.in/Headley-I-S-Hussain-Zaidi/dp/9350295725/ref=sr_1_1?crid=1YTMNH6RUOOFK&dib=eyJ2IjoiMSJ9.95TSvQYTKMLAei4oqZaFLI0cAdZgjplLV9lM0T5a_0a-FvOPcIFKGyF_eLQhbhuJHwiGYmY8SdpgocxbPWKUi_WDr4wEGtjwkx3EGp0ixwBHiWCiWVLajJuBH7CUcnF2XLmcdkgce2uLumi-g4J3uR7VbyBdMxILrcX-Re-l_BtmLMduzIv0A-Xqp-C_4FmYWcWB8bKhAo3HpUnqEd2eCb-Ku0FHfa779YT_rpEL0cw.QXFxFkzrv_Qm9PdsGvRd-O8Avfi-dcsok_41wCRV89Q&dib_tag=se&keywords=Headley+and+I&qid=1745719902&s=audible&sprefix=headley+and+i%2Caudible%2C322&sr=1-1-catcorr,4.2,294,https://www.flipkart.com/headley-and-i/p/itmf3qd5uhxfmeyf?pid=9789350295724&lid=LSTBOK9789350295724NRQ0IY&marketplace=FLIPKART&q=Headley+And+I+book&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=93b2d7cf-41e9-486b-9a63-2322c4d622ee.9789350295724.SEARCH&ppt=sp&ppn=sp&ssid=cw1bi2gwyo0000001745719827611&qH=00b92311b8ac67ce
The 7 Habits of Highly Effective People,4.4,399,https://www.amazon.in/HABITS-HIGHLY-EFFECTIVE-PEOPLE-Creations/dp/B0DZV5Q59W/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.NMnhbrXDGB7TLchF7s76oSYybgRtAK9pJaqhSPXJwS2a4fzzuhKyTJ2Qt2p1XXRCiVTZzHqo0PqsdAVjYpHdffSvykbrigy0aV3FaEUqhhv1FH7X9LiwC6nL65itF-LbZNQgOuRT1OtDc-BkcSohALCJJxtuiGP3Krw_ug2B0E4yUPWVqZKPrQ6IBuZ8_J6jnQZpNgsfKd-1EteRGmQ6PGW1ogEA5pRtyqx1pJjrpfc.wmNIy_O7ue7_5Zzljbir2y1kLmYgDANa5_8beSCpHRU&dib_tag=se&keywords=The+7+Habits+of+Highly+Effective+People&qid=1745720025&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,4.4,205,https://www.flipkart.com/7-habits-highly-effective-people/p/itmfc5bhw2sfa92p?pid=9781471131820&lid=LSTBOK9781471131820MTLFJ8&marketplace=FLIPKART&q=The+7+Habits+of+Highly+Effective+People&store=bks&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=5dfa0e98-b79e-4e2a-9df2-488e2d6ceedf.9781471131820.SEARCH&ppt=pp&ppn=pp&ssid=xxeivv4i9c0000001745720085717&qH=18551c70fdb9b96d
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,4.3,200,https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/9354407285/ref=sr_1_6?crid=3B3G32SB98MGO&dib=eyJ2IjoiMSJ9.egb3JWRvwcCANVGOI6s1tpOO-8qjaTu9TOyAydhtk2e4y2ZbzKsFTxCyYmIlx30Gb3NcXJVHBZAa3m84zZT7kT6xXQMP_cu4NFMWtw4DHOn6aSbSrtJ_96MEOiZyA4nEM56gd-qUlgVuLlBTWizuqqdtS8ZOONFLtjZeBdFvUVontox7NWZTCp6AJW40RAzroBl3dGRMk9ZOXtNtfuxvsP8met5pLbra5DiHiQvfsMY.vRdZdpOgJ_75zOKQEfBUhq9R-XMVv3pPpDUx1iFXWfs&dib_tag=se&keywords=How+to+Stop+Worrying+and+Start+Living%3A+Time-Tested+Methods+for+Conquering+Worry&nsdOptOutParam=true&qid=1745720211&sprefix=how+to+stop+worrying+and+start+living+time-tested+methods+for+conquering+worry%2Caps%2C303&sr=8-6,4.2,326,https://www.flipkart.com/stop-worrying-start-living-time-tested-methods-conquering-worry-bengali/p/itm8dfcb33b6441c?pid=9789354407284&lid=LSTBOK9789354407284ESG2UJ&marketplace=FLIPKART&q=How+to+Stop+Worrying+and+Start+Living%3A+Time-Tested+Methods+for+Conquering+Worry&store=bks&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=5595a296-0a5c-4382-be5d-e07dccda9370.9789354407284.SEARCH&ppt=pp&ppn=pp&ssid=5mmt3q3c5c0000001745720148466&qH=1ab62e092f257b12
"The 5 AM Club: Own Your Morning, Elevate Your Life",4.5,274,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891/ref=sr_1_1?crid=48CQIUE2VK4F&dib=eyJ2IjoiMSJ9.EAwUUkn-m7EGALerxG_pabZZjzn2lplkNUHeZCRhvjUKAa2tMyZaEWu8B_RAnFnm082e3_GSsjtRW91Sqzh6RWLs3gL7ZDDv4Ls0nN2l2zUy3vcIVQRDN4Tic4oUx13VjmNuUQqPCuvtHEGMmwpUvsyjw0kvz9whSbLbQb16Kv5bmrB53VeQPxM9Y9_-GrSLx9gBTDUwWrFevQ31KCTxssSaQv4lvD5ipVZ3UHYc1Ok.rLpf61F8N_NEPIXUBEUQk_7mBjIXmFPF-Yph7HInqew&dib_tag=se&keywords=The+5+AM+Club%3A+Own+Your+Morning%2C+Elevate+Your+Life&nsdOptOutParam=true&qid=1745720299&sprefix=the+5+am+club+own+your+morning%2C+elevate+your+life%2Caps%2C293&sr=8-1,3.6,451,https://www.flipkart.com/5-am-club-deluxe-edition-own-your-morning-elevate-life/p/itm419c9707ffbe4?pid=9788119792580&lid=LSTBOK9788119792580I9VDLZ&marketplace=FLIPKART&q=The+5+AM+Club%3A+Own+Your+Morning%2C+Elevate+Your+Life&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=cb8100da-5ead-4433-a1cb-f88b5aa8a92b.9788119792580.SEARCH&ppt=pp&ppn=pp&ssid=0ydt6rmg0w0000001745720373621&qH=b9d62f8e66a76b1a
